Dataset,Nombre del archivo,Hay humano,Caja Hay humano
JAS,train_JAS_0001_0_13.jpg,0,1
JAS,train_JAS_0001_0_15.jpg,0,1
JAS,train_JAS_0001_0_4.jpg,0,1
JAS,train_JAS_0001_10_11.jpg,0,1
JAS,train_JAS_0001_10_16.jpg,0,1
JAS,train_JAS_0001_10_17.jpg,0,1
JAS,train_JAS_0001_10_20.jpg,0,1
JAS,train_JAS_0001_11_1.jpg,0,1
JAS,train_JAS_0001_11_19.jpg,0,1
JAS,train_JAS_0001_12_0.jpg,0,1
JAS,train_JAS_0001_12_15.jpg,0,1
JAS,train_JAS_0001_12_16.jpg,0,1
JAS,train_JAS_0001_12_21.jpg,0,1
JAS,train_JAS_0001_12_4.jpg,0,1
JAS,train_JAS_0001_12_6.jpg,0,1
JAS,train_JAS_0001_13_10.jpg,0,1
JAS,train_JAS_0001_13_11.jpg,0,1
JAS,train_JAS_0001_13_20.jpg,0,1
JAS,train_JAS_0001_13_21.jpg,0,1
JAS,train_JAS_0001_13_22.jpg,0,1
JAS,train_JAS_0001_13_9.jpg,0,1
JAS,train_JAS_0001_14_21.jpg,0,1
JAS,train_JAS_0001_14_3.jpg,0,1
JAS,train_JAS_0001_14_8.jpg,0,1
JAS,train_JAS_0001_14_9.jpg,0,1
JAS,train_JAS_0001_15_1.jpg,0,1
JAS,train_JAS_0001_15_10.jpg,0,1
JAS,train_JAS_0001_15_11.jpg,0,1
JAS,train_JAS_0001_15_17.jpg,0,1
JAS,train_JAS_0001_15_7.jpg,0,1
JAS,train_JAS_0001_16_12.jpg,0,1
JAS,train_JAS_0001_16_13.jpg,0,1
JAS,train_JAS_0001_16_17.jpg,0,1
JAS,train_JAS_0001_16_9.jpg,0,1
JAS,train_JAS_0001_1_13.jpg,0,1
JAS,train_JAS_0001_1_15.jpg,0,1
JAS,train_JAS_0001_1_20.jpg,0,1
JAS,train_JAS_0001_1_21.jpg,0,1
JAS,train_JAS_0001_1_7.jpg,0,1
JAS,train_JAS_0001_2_0.jpg,0,1
JAS,train_JAS_0001_2_13.jpg,0,1
JAS,train_JAS_0001_2_20.jpg,0,1
JAS,train_JAS_0001_2_4.jpg,0,1
JAS,train_JAS_0001_3_15.jpg,0,1
JAS,train_JAS_0001_3_16.jpg,0,1
JAS,train_JAS_0001_3_7.jpg,0,1
JAS,train_JAS_0001_4_13.jpg,0,1
JAS,train_JAS_0001_4_15.jpg,0,1
JAS,train_JAS_0001_4_18.jpg,0,1
JAS,train_JAS_0001_4_19.jpg,0,1
JAS,train_JAS_0001_4_20.jpg,0,1
JAS,train_JAS_0001_4_21.jpg,0,1
JAS,train_JAS_0001_4_6.jpg,0,1
JAS,train_JAS_0001_4_7.jpg,0,1
JAS,train_JAS_0001_5_12.jpg,0,1
JAS,train_JAS_0001_5_15.jpg,0,1
JAS,train_JAS_0001_5_5.jpg,0,1
JAS,train_JAS_0001_5_9.jpg,0,1
JAS,train_JAS_0001_6_17.jpg,0,1
JAS,train_JAS_0001_6_19.jpg,0,1
JAS,train_JAS_0001_7_1.jpg,0,1
JAS,train_JAS_0001_7_10.jpg,0,1
JAS,train_JAS_0001_7_3.jpg,0,1
JAS,train_JAS_0001_8_0.jpg,0,1
JAS,train_JAS_0001_8_13.jpg,0,1
JAS,train_JAS_0001_9_16.jpg,0,1
JAS,train_JAS_0001_9_17.jpg,0,1
JAS,train_JAS_0001_9_18.jpg,0,1
JAS,train_JAS_0001_9_20.jpg,0,1
JAS,train_JAS_0001_9_21.jpg,0,1
JAS,train_JAS_0001_9_22.jpg,0,1
JAS,train_JAS_0001_9_4.jpg,0,1
JAS,train_JAS_0002_0_10.jpg,0,1
JAS,train_JAS_0002_0_11.jpg,0,1
JAS,train_JAS_0002_0_4.jpg,0,1
JAS,train_JAS_0002_0_8.jpg,0,1
JAS,train_JAS_0002_10_1.jpg,0,1
JAS,train_JAS_0002_10_18.jpg,0,1
JAS,train_JAS_0002_10_4.jpg,0,1
JAS,train_JAS_0002_10_5.jpg,0,1
JAS,train_JAS_0002_10_8.jpg,0,1
JAS,train_JAS_0002_11_0.jpg,0,1
JAS,train_JAS_0002_11_16.jpg,0,1
JAS,train_JAS_0002_11_20.jpg,0,1
JAS,train_JAS_0002_11_21.jpg,0,1
JAS,train_JAS_0002_11_3.jpg,0,1
JAS,train_JAS_0002_11_8.jpg,0,1
JAS,train_JAS_0002_12_1.jpg,0,1
JAS,train_JAS_0002_12_10.jpg,0,1
JAS,train_JAS_0002_12_13.jpg,0,1
JAS,train_JAS_0002_12_19.jpg,0,1
JAS,train_JAS_0002_12_7.jpg,0,1
JAS,train_JAS_0002_12_9.jpg,0,1
JAS,train_JAS_0002_13_1.jpg,0,1
JAS,train_JAS_0002_13_16.jpg,0,1
JAS,train_JAS_0002_13_2.jpg,0,1
JAS,train_JAS_0002_13_21.jpg,0,1
JAS,train_JAS_0002_13_3.jpg,0,1
JAS,train_JAS_0002_14_11.jpg,0,1
JAS,train_JAS_0002_14_12.jpg,0,1
JAS,train_JAS_0002_14_13.jpg,0,1
JAS,train_JAS_0002_14_21.jpg,0,1
JAS,train_JAS_0002_14_3.jpg,0,1
JAS,train_JAS_0002_14_4.jpg,0,1
JAS,train_JAS_0002_15_0.jpg,0,1
JAS,train_JAS_0002_15_18.jpg,0,1
JAS,train_JAS_0002_15_19.jpg,0,1
JAS,train_JAS_0002_15_5.jpg,0,1
JAS,train_JAS_0002_16_14.jpg,0,1
JAS,train_JAS_0002_16_18.jpg,0,1
JAS,train_JAS_0002_16_3.jpg,0,1
JAS,train_JAS_0002_16_5.jpg,0,1
JAS,train_JAS_0002_1_11.jpg,0,1
JAS,train_JAS_0002_1_12.jpg,0,1
JAS,train_JAS_0002_1_2.jpg,0,1
JAS,train_JAS_0002_1_3.jpg,0,1
JAS,train_JAS_0002_1_5.jpg,0,1
JAS,train_JAS_0002_2_0.jpg,0,1
JAS,train_JAS_0002_2_11.jpg,0,1
JAS,train_JAS_0002_2_13.jpg,0,1
JAS,train_JAS_0002_2_16.jpg,0,1
JAS,train_JAS_0002_2_19.jpg,0,1
JAS,train_JAS_0002_2_20.jpg,0,1
JAS,train_JAS_0002_3_20.jpg,0,1
JAS,train_JAS_0002_3_22.jpg,0,1
JAS,train_JAS_0002_4_14.jpg,0,1
JAS,train_JAS_0002_4_16.jpg,0,1
JAS,train_JAS_0002_4_18.jpg,0,1
JAS,train_JAS_0002_4_20.jpg,0,1
JAS,train_JAS_0002_4_3.jpg,0,1
JAS,train_JAS_0002_4_5.jpg,0,1
JAS,train_JAS_0002_4_8.jpg,0,1
JAS,train_JAS_0002_5_10.jpg,0,1
JAS,train_JAS_0002_5_2.jpg,0,1
JAS,train_JAS_0002_5_3.jpg,0,1
JAS,train_JAS_0002_5_5.jpg,0,1
JAS,train_JAS_0002_6_12.jpg,0,1
JAS,train_JAS_0002_6_16.jpg,0,1
JAS,train_JAS_0002_6_17.jpg,0,1
JAS,train_JAS_0002_6_19.jpg,0,1
JAS,train_JAS_0002_6_3.jpg,0,1
JAS,train_JAS_0002_6_4.jpg,0,1
JAS,train_JAS_0002_7_13.jpg,0,1
JAS,train_JAS_0002_7_2.jpg,0,1
JAS,train_JAS_0002_7_5.jpg,0,1
JAS,train_JAS_0002_8_13.jpg,0,1
JAS,train_JAS_0002_8_14.jpg,0,1
JAS,train_JAS_0002_8_16.jpg,0,1
JAS,train_JAS_0002_8_17.jpg,0,1
JAS,train_JAS_0002_8_19.jpg,0,1
JAS,train_JAS_0002_8_21.jpg,0,1
JAS,train_JAS_0002_8_4.jpg,0,1
JAS,train_JAS_0002_8_7.jpg,0,1
JAS,train_JAS_0002_8_9.jpg,0,1
JAS,train_JAS_0002_9_17.jpg,0,1
JAS,train_JAS_0002_9_21.jpg,0,1
JAS,train_JAS_0003_0_2.jpg,0,1
JAS,train_JAS_0003_0_22.jpg,0,1
JAS,train_JAS_0003_0_3.jpg,0,1
JAS,train_JAS_0003_0_4.jpg,0,1
JAS,train_JAS_0003_0_5.jpg,0,1
JAS,train_JAS_0003_10_12.jpg,0,1
JAS,train_JAS_0003_11_16.jpg,0,1
JAS,train_JAS_0003_11_17.jpg,0,1
JAS,train_JAS_0003_11_18.jpg,0,1
JAS,train_JAS_0003_11_21.jpg,0,1
JAS,train_JAS_0003_11_3.jpg,0,1
